Symbol,HPNE_Control,HPNE_H2O2,PANC1_Control,PANC1_H2O2
DDX11L1,4,7,21,14
WASH7P,241,305,611,652
MIR6859-1,6,17,26,39
FAM138A,1,1,1,0
LOC100996442,40,69,57,54
LOC729737,6,7,6,8
DDX11L17,6,4,18,18
WASH9P,354,478,718,798
MIR6859-2,2,3,29,21
LOC107985721,0,1,0,0
LOC112268260,10,20,24,19
OR4F29,1,0,2,1
LOC100132287,22,19,30,22
LOC105378947,2,1,5,4
LOC101928626,1,0,0,0
MIR12136,591,292,34,47
OR4F16,7,8,14,10
LOC100133331,30,11,30,38
LOC107984841,16,19,21,14
LOC107984847,16,12,14,14
LOC107984849,3,2,9,5
LOC100288069,57,62,120,92
LINC01409,45,58,86,71
FAM87B,36,50,19,20
LINC00115,36,61,46,57
LINC01128,316,333,946,1009
LOC107984850,0,1,1,0
FAM41C,0,6,1,2
LOC284600,17,23,12,16
LINC02593,5,16,70,34
LOC107985728,27,44,87,41
SAMD11,519,602,1465,1087
NOC2L,3723,3808,12752,10633
KLHL17,516,569,454,421
PLEKHN1,142,265,149,165
PERM1,27,18,28,27
HES4,1218,1438,825,1072
ISG15,1073,1542,1378,1247
AGRN,4268,3420,4344,3144
LOC100288175,42,81,221,278
LOC112267874,2,10,42,77
LOC105378948,15,38,181,261
RNF223,0,4,17,19
C1orf159,485,361,482,582
MIR200A,0,0,0,2
TTLL10-AS1,1,0,0,0
TTLL10,0,4,1,1
TNFRSF18,0,5,15,15
TNFRSF4,0,11,8,11
SDF4,3899,4431,6045,5976
B3GALT6,3043,3864,1912,1784
C1QTNF12,10,15,151,80
UBE2J2,2179,2708,2975,3000
LINC01786,27,49,65,69
SCNN1D,56,84,91,96
ACAP3,2051,1410,1018,569
MIR6726,2,0,0,0
SNORD167,6,6,8,1
PUSL1,766,782,1404,1208
INTS11,3234,2730,2921,2784
MIR6727,16,18,18,19
CPTP,1150,1159,1472,1484
TAS1R3,108,193,174,172
DVL1,5685,5864,7520,6706
MIR6808,4,14,11,13
MXRA8,19211,19299,3435,1853
AURKAIP1,3367,3141,5966,5199
CCNL2,2107,2519,5155,5454
MRPL20-AS1,339,515,1579,1149
MRPL20,610,522,3932,2872
LOC107984868,0,0,5,11
ANKRD65,1,11,2,3
ANKRD65-AS1,0,2,0,2
TMEM88B,0,0,7,0
LINC01770,0,0,34,30
LOC107985729,0,0,69,85
VWA1,28,26,3891,2232
ATAD3C,48,57,126,71
ATAD3B,2054,1769,6116,5031
ATAD3A,3352,2626,4000,3690
TMEM240,71,55,7,7
SSU72,3490,2828,3551,3008
FNDC10,237,200,93,149
LOC105378586,33,36,7,14
MIB2,1288,1835,837,694
MMP23B,94,82,73,62
CDK11B,842,849,2671,2512
SLC35E2B,2630,2181,1881,1748
MMP23A,10,10,11,16
CDK11A,311,338,1655,1409
SLC35E2A,705,595,969,785
LOC112268218,267,187,214,149
NADK,2359,1981,2896,2624
GNB1,10514,7302,17316,14140
GNB1-DT,40,49,7,8
CALML6,6,8,17,13
TMEM52,2,6,9,9
CFAP74,2,3,1,0
LOC107984872,0,2,1,0
LOC105378589,0,0,1,0
GABRD,3,0,7,13
LOC105378590,0,1,0,0
PRKCZ-DT,0,0,0,3
PRKCZ,118,164,807,841
PRKCZ-AS1,19,19,2,12
FAAP20,804,891,898,894
LOC112268219,201,312,255,217
LOC105378593,9,13,9,10
SKI,4178,5673,1025,1115
MORN1,101,102,326,241
LOC100129534,6,7,27,32
RER1,5516,4255,8213,7090
PEX10,1074,775,1360,939
PLCH2,52,82,690,306
PANK4,716,709,1472,1356
HES5,1,0,6,1
TNFRSF14-AS1,49,164,19,22
TNFRSF14,397,778,96,77
LOC100996583,16,21,10,16
PRXL2B,1189,1155,363,278
MMEL1,133,125,39,34
MMEL1-AS1,3,11,0,0
TTC34,69,60,26,28
LOC112268220,2,0,0,0
LOC107985732,1,0,0,0
LOC107984904,1,0,0,0
PRDM16-DT,0,0,13,29
PRDM16,0,2,174,197
MIR4251,0,0,3,3
LOC105378606,1,0,2,6
LOC107984909,0,0,12,11
LOC105378605,0,0,6,12
LOC105378604,0,0,122,156
ARHGEF16,0,2,611,517
MEGF6,17,24,1245,966
LOC105378608,9,13,11,14
LOC105378607,1,1,0,0
TPRG1L,1912,2617,2434,2233
WRAP73,434,501,871,965
TP73,107,46,106,172
TP73-AS3,2,4,3,6
LOC105378609,0,0,0,2
TP73-AS1,113,115,2211,2159
CCDC27,0,0,3,4
SMIM1,2,5,41,25
LRRC47,2316,3749,3543,3338
CEP104,1309,1151,1696,1522
DFFB,290,323,263,162
LOC107984910,18,13,25,18
C1orf174,502,467,2261,2078
LINC01134,14,24,77,78
AJAP1,1,3,0,0
LINC02781,0,2,0,0
LOC105376686,0,1,0,0
MIR4689,1,0,0,0
NPHP4,530,334,500,493
KCNAB2,45,70,1006,705
CHD5,3,11,4937,3535
LOC105376687,0,1,15,15
RPL22,2459,2166,15315,12936
LOC107985733,17,20,105,81
RNF207-AS1,14,10,25,38
RNF207,219,161,1283,697
ICMT,9324,5131,8591,7652
ICMT-DT,8,18,59,92
HES3,1,0,0,1
GPR153,163,176,140,99
ACOT7,1604,1159,2973,2375
HES2,1,9,695,744
ESPN,6,17,41,25
MIR4252,0,2,0,0
TNFRSF25,77,93,39,94
PLEKHG5,591,783,321,441
NOL9,2179,1721,4886,3953
TAS1R1,1,17,5,12
LOC107984912,0,3,0,3
ZBTB48,319,433,936,1061
KLHL21,4760,18825,2142,2730
LOC107984913,56,48,31,25
PHF13,1402,791,1449,1316
THAP3,859,1073,1591,1181
DNAJC11,1273,944,3866,3019
CAMTA1-DT,34,48,17,22
CAMTA1,318,310,998,1211
LOC105376692,0,1,0,0
CAMTA1-AS1,0,0,0,1
LOC105376689,0,2,36,75
VAMP3,3493,3018,8530,8049
PER3,397,252,1337,766
UTS2,1,1,0,2
TNFRSF9,2,23,69,100
PARK7,2688,1998,11425,9368
ERRFI1,976,1324,24858,25948
LOC107984915,0,7,9,17
LINC01714,0,4,23,19
LOC105376695,0,0,2,7
SLC45A1,10,21,134,121
RERE,1097,902,1780,1676
RERE-AS1,3,6,27,11
SNORD128,0,5,0,2
ENO1,53715,42867,174223,148059
MIR6728,6,7,22,21
ENO1-AS1,52,117,117,152
LOC112268261,0,1,0,0
SLC2A7,0,2,0,0
SLC2A5,1,7,0,1
GPR157,683,1046,1143,759
MIR34AHG,571,763,53,69
MIR34A,9,17,1,2
LNCTAM34A,135,153,12,5
H6PD,4354,2320,857,615
SPSB1,478,915,1323,1263
LINC02606,22,7,7,23
SLC25A33,563,768,1714,1855
TMEM201,1614,1290,738,790
LOC107985734,13,13,13,16
LOC105376712,0,1,0,0
PIK3CD,788,791,1115,1696
PIK3CD-AS1,0,0,5,3
PIK3CD-AS2,14,12,203,200
CLSTN1,7090,4774,4233,3567
CTNNBIP1,501,299,876,568
LOC105376717,88,49,146,112
LZIC,1855,989,3368,2611
NMNAT1,584,593,694,465
TMEM274P,17,0,11,8
MIR5697,5,1,1,2
RBP7,0,0,413,503
UBE4B,1399,1077,2665,2009
KIF1B,3002,3438,4950,5117
LOC105376725,1,8,4,1
PGD,2361,2972,6489,6694
CENPS-CORT,154,104,770,646
CENPS,163,109,837,683
CORT,22,14,33,21
DFFA,2059,1918,7431,6385
PEX14,566,589,961,794
CASZ1,16,18,661,453
LOC105376733,2,0,0,0
LOC105376735,1,0,0,0
C1orf127,0,1,1,0
TARDBP,2093,1463,8411,5673
MASP2,31,26,112,73
SRM,2839,2403,2034,2116
EXOSC10,1440,1144,6382,5323
EXOSC10-AS1,83,85,265,263
MTOR,2549,1773,9625,7477
MTOR-AS1,67,45,198,142
ANGPTL7,45,25,30,34
UBIAD1,673,737,1829,1841
LOC105376737,0,1,0,0
LOC105376740,1,0,0,0
DISP3,0,22,7,8
LINC01647,2,7,1,2
FBXO2,0,8,862,637
FBXO44,149,313,784,625
FBXO6,153,246,662,623
MAD2L2,1804,1353,2504,2475
DRAXIN,0,2,18,32
AGTRAP,562,777,1125,1054
C1orf167,136,281,258,318
C1orf167-AS1,0,0,0,1
MTHFR,466,933,1414,1430
CLCN6,281,415,413,252
NPPA-AS1,37,59,48,29
NPPA,3,7,10,1
NPPB,7,6,0,1
RNU5E-1,20,22,476,459
KIAA2013,4265,4914,3094,2298
PLOD1,6997,5127,4238,2786
MFN2,3780,3644,9770,9161
MIIP,497,570,1227,913
MIR6729,2,1,3,4
TNFRSF8,2,9,2,1
MIR7846,49,53,21,14
TNFRSF1B,1040,1050,1105,1050
MIR4632,0,1,0,0
LOC107984917,7,9,0,0
VPS13D,2625,1777,4799,3740
SNORA59A,12,5,14,33
LINC02766,3,3,4,0
DHRS3,125,123,2109,816
MIR6730,1,2,1,2
AADACL4,0,4,0,0
AADACL3,1,0,0,0
PRAMEF2,0,1,0,0
PRAMEF34P,0,1,0,0
PRAMEF36P,0,1,0,0
PRAMEF13,1,0,0,0
PRAMEF18,1,0,0,0
PRAMEF14,0,1,0,0
PRAMEF19,0,1,0,0
PRAMEF20,0,2,0,0
PDPN,0,1,0,0
LOC105376756,1,0,0,0
PRDM2,727,800,1170,1177
KAZN,1241,782,201,175
LOC107985467,0,0,1,0
KAZN-AS1,0,1,9,1
LOC105376759,2,0,7,2
TMEM51-AS1,5,11,31,36
TMEM51,550,583,1159,1420
TMEM51-AS2,19,16,32,34
FHAD1,6,5,26,24
FHAD1-AS1,5,1,4,5
EFHD2-AS1,35,38,39,56
EFHD2,2190,1975,4669,5019
CTRC,1,1,0,9
CELA2A,0,3,0,8
LOC105376767,0,1,0,1
CELA2B,4,6,7,7
CASP9,178,290,324,320
DNAJC16,846,695,1874,1567
SCARNA21B,2,3,2,4
AGMAT,45,32,190,151
DDI2,709,1017,2691,3094
RSC1A1,136,211,669,893
PLEKHM2,3915,6866,2681,2753
SLC25A34,18,33,14,14
SLC25A34-AS1,0,0,2,3
TMEM82,1,3,0,0
FBLIM1,4957,3701,277,248
UQCRHL,24,35,223,229
SPEN-AS1,124,213,262,244
SPEN,1809,2299,3173,2588
ZBTB17,776,974,1426,1298
SRARP,0,0,1,0
HSPB7,287,375,12,1
CLCNKA,2,5,1,1
CLCNKB,1,8,0,4
FAM131C,28,31,18,40
EPHA2,2573,5186,15774,13549
EPHA2-AS1,70,98,182,230
